"Mnemonic","OemCode","Manufacturer","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"Oem_bsl_bv_node_2_1","0x2A41","BSL BV","Node 2","2","2","y","n","www.bsl-lighting.com"
"Oem_bsl_bv_powernode_8_1","0x2A40","BSL BV","PowerNode 8","0","8","n","n","www.bsl-lighting.com"
"Oem_integrated_system_technologies_sentinel_24_1","0x2A3F","Integrated System Technologies","Sentinel 24","24","24","y","y","https://www.istl.com/"
"Oem_adj_products_trusshub_u1_1","0x2A3E","ADJ Products","TrussHub U1","1","4","y","y","www.adj.com"
"Oem_jah_audio_corp_jah_lighting_engine_1","0x2A3D","JAH Audio Corp","JAH Lighting Engine","500","500","y","y","https://www.jahavl.com"
"Oem_jah_audio_corp_jah_8_port_node_1","0x2A3C","JAH Audio Corp","JAH 8 Port Node","8","9","y","y","https://www.jahavl.com"
"Oem_offstage_controls_kilo_gate_io_1","0x2A3B","Offstage Controls","Kilo Gate IO","1.024","1.024","n","y","http://www.OffstageControls.com"
"Oem_offstage_controls_kilo_gate_o_1","0x2A3A","Offstage Controls","Kilo Gate O","0","1.024","n","y","http://www.OffstageControls.com"
"Oem_offstage_controls_kilo_gate_i_1","0x2A39","Offstage Controls","Kilo Gate I","1.024","0","n","y","http://www.OffstageControls.com"
"Oem_clay_paky_alqimya_1","0x2A38","CLAY PAKY","ALQIMYA","1","1","y","y","https://www.claypaky.it/"
"Oem_suga_koubou_co_ltd_dmx_recorder_1","0x2A37","Suga koubou Co Ltd","DMX Recorder","4","4","y","y","http://www.sugakoubou.com"
"Oem_pxm_px785_1","0x2A36","PXM","Px785","4","4","y","y","http://www.pxm.eu"
"Oem_pxm_px786_1","0x2A35","PXM","Px786","0","4","y","n","http://www.pxm.eu"
"Oem_offstage_controls_unlicensed_ocpe_1","0x2A34","Offstage Controls","Unlicensed OCPE","0","0","n","n","http://www.OffstageControls.com"
"Oem_clay_paky_reflectxion_1","0x2A33","CLAY PAKY","REFLECTXION","1","1","y","y","https://www.claypaky.it/"
"Oem_adb_stagelight_orkis_profile_m_1","0x2A32","ADB STAGELIGHT","ORKIS PROFILE M","0","1","n","y","www.adbstagelight.com"
"Oem_dataled_dataled_net_1","0x2A31","DATALED","DATALED NET","0","1","y","n",""
"Oem_paulo_macedo_wifipixel_1","0x2A30","Paulo Macedo","WIFIpixel","0","8","Y","n",""
"Oem_sigma_net_light_magic_1","0x2A2F","Sigma Net","Light Magic","1","2","y","n","http://www.sigma.net.pl/"
"Oem_r_s_schwarze_elektrotechnik_moderne_industrieelektronik_gmbh_sg_4_1","0x2A2E","R S Schwarze Elektrotechnik Moderne Industrieelektronik GmbH","SG 4","0","48","n","n","www.rs-schwarze.de"
"Oem_integrated_system_technologies_idrive_workshop_1","0x2A2D","Integrated System Technologies","iDrive Workshop","0","0","y","y","www.istl.com"
"Oem_lucenti_blackwave_pixldrive_1","0x2A2C","Lucenti","Blackwave PixlDrive","4","0","n","n","https://www.lucenti.lighting/blackwave-collection/"
"Oem_belayingpin_com_bpc_video_server_1","0x2A2B","Belayingpin com","BPC Video Server","1","0","n","n","http://Belayingpin.com"
"Oem_adj_group_pixie_driver_2k_1","0x2A2A","ADJ Group","Pixie Driver 2K","1","1","y","n","www.adj.com"
"Oem_steinigke_showtechnic_eye_740_1","0x2A29","Steinigke Showtechnic","EYE 740","1","1","y","y","www.steinigke.de"
"Oem_pixout_sia_pixout_controller_1","0x2A28","Pixout SIA","Pixout Controller","1","255","y","y","https://pixout.lighting"
"Oem_smartshow_uk_airpixel_one_1","0x2A27","SmartShow UK","AirPixel ONE","0","16","Y","N","http://smartshow.lighting"
"Oem_smartshow_uk_netpixel_one_1","0x2A26","SmartShow UK","NetPixel ONE","0","32","Y","N","http://smartshow.lighting"
"Oem_guangzhou_chaiyi_light_co_ltd_air_gate_1","0x2A25","Guangzhou ChaiYi Light CO Ltd","Air Gate","4","4","y","y","http://en.fineart-light.com"
"Oem_on_lx_limited_commskit_1","0x2A24","ON LX Limited","CommsKit","2.048","2.048","n","y","https://labs.onlx.ltd/commskit"
"Oem_showart_dmxrecorder_1","0x2A23","Showart","DMXrecorder","8","8","Y","Y","http://www.showart.com.cn"
"Oem_kyle_hensel_node_js_api_1","0x2A22","Kyle Hensel","Node js API","1","1","n","n",""
"Oem_elation_lighting_en12_1","0x2A21","Elation Lighting","EN12","2","12","y","y","https://obsidiancontrol.com/en12"
"Oem_elation_lighting_en4_1","0x2A20","Elation Lighting","EN4","2","4","y","y","https://obsidiancontrol.com/en4"
"Oem_elation_lighting_ep4_1","0x2A1F","Elation Lighting","EP4","2","4","Y","Y","https://obsidiancontrol.com/ep4"
"Oem_elation_lighting_rmd_10_1","0x2A1E","Elation Lighting","RMD 10","2","10","y","y","https://obsidiancontrol.com/rdm-10"
"Oem_elation_lighting_rdm_645_1","0x2A1D","Elation Lighting","RDM 645","2","6","y","y","https://obsidiancontrol.com/rdm-645"
"Oem_elation_lighting_rdm_6xl_1","0x2A1C","Elation Lighting","RDM 6XL","2","6","y","y","https://obsidiancontrol.com/rdm-6xl"
"Oem_tristan_leonid_zoltan_thiltges_lightsculptures_1","0x2A1B","Tristan Leonid Zoltan Thiltges","Lightsculptures","20","0","n","n","http://lightsculpture.lu"
"Oem_archon_archon_dev_1","0x2A1A","Archon","Archon Dev","512","512","n","y","https://www.sontan.net/"
"Oem_zhsj_video_control_1","0x2A19","zhsj","Video control","12","12","y","y","http://www.visionlink.com.cn/"
"Oem_showtacle_ltd_moncha2_1","0x2A18","Showtacle Ltd","Moncha2","1","0","y","n","https://www.showtacle.com/index.php"
"Oem_showtacle_ltd_the_upgrade_1","0x2A17","Showtacle Ltd","THE UPGRADE","1","0","y","n","https://www.showtacle.com/index.php"
"Oem_ocular_bvba_ocularium_1","0x2A16","Ocular BVBA","Ocularium","4","4","n","n","http://www.ocular.be/"
"Oem_fiberli_node4x_1","0x2A15","Fiberli","Node4X","0","4","y","n","https://www.fiberli.com.tr/"
"Oem_chauvet_professional_maverick_silens_2_profile_1","0x2A14","Chauvet Professional","Maverick Silens 2 Profile","1","1","1","y","www.chauvetprofessional.com"
"Oem_vanray_dmx_link_pro_1","0x2A13","VANRAY","DMX LINK PRO","32.768","32.768","y","y","http://www.vrzmled.com"
"Oem_bonkon_dmx_link_pro1_1","0x2A12","BonKon","DMX Link Pro1","512","512","y","y","http://pugongying6.loioo.com/"
"Oem_sigma_net_bluedmx_1","0x2A11","Sigma Net","BlueDMX","1","1","y","n","www.sigma.net.pl"
"Oem_integrated_system_technology_ltd_white_knight_12_1","0x2A10","Integrated System Technology Ltd","White Knight 12","12","12","y","y","https://www.istl.com/"
"Oem_elation_lighting_pixel_driver_1000ip_1","0x2A0F","Elation Lighting","Pixel Driver 1000IP","1","1","y","y","hhttps://www.elationlighting.com/pixel-driver-1000ip"
"Oem_hycl_rdm_player_8_1","0x2A0E","HYCL","RDM Player 8","8","8","y","y","http://www.leds-control.com"
"Oem_hycl_rdm_player_4_1","0x2A0D","HYCL","RDM Player 4","4","4","y","y","http://www.leds-control.com"
"Oem_hycl_rdm_player_2_1","0x2A0C","HYCL","RDM Player 2","2","2","y","y","http://www.leds-control.com"
"Oem_hycl_rdm_player_1_1","0x2A0B","HYCL","RDM Player 1","1","1","y","y","http://www.leds-control.com"
"Oem_hycl_iot_update_1","0x2A0A","HYCL","IOT Update","0","0","n","n","http://www.leds-control.com"
"Oem_wa_benjamin_pmp_power_metering_panel_1","0x2A09","WA Benjamin","PMP Power Metering Panel","1","0","y","y","http://benjaminelectric.com"
"Oem_nec_display_solutions_ltd_flat_panel_display_1","0x2A08","Sharp NEC Display Solutions LTD","Flat Panel Display","1","0","n","n","https://www.sharpnecdisplays.us/"
"Oem_nec_display_solutions_ltd_projector_1","0x2A07","Sharp NEC Display Solutions LTD","Projector","1","0","n","n","https://www.sharpnecdisplays.us/"
"Oem_guangzhou_chaiyi_light_co_ltd_general_purpose_device_1","0x2A06","Guangzhou ChaiYi Light CO Ltd","General Purpose Device","4","4","y","y","http://en.fineart-light.com/"
"Oem_coretronic_corporation_projector_1","0x2A05","Coretronic Corporation","Projector","1","1","n","n","http:\www.coretronic.com"
"Oem_blinkinlabs_supersweet_1","0x2A04","Blinkinlabs","SuperSweet","1","11","y","n","https://blinkinlabs.com"
"Oem_kappastyle_productions_kappanode2_1","0x2A03","KappaStyle Productions","KappaNode2","2","2","y","n",""
"Oem_crew_light_vcontroller_1","0x2A02","Crew Light","VController","1","0","n","n",""
"Oem_dts_illuminazione_srl_alchemy3_1","0x2A01","DTS Illuminazione srl","Alchemy3","0","1","y","y","https://dts-lighting.it/"
"Oem_blue_ridge_concepts_inc_eladnidesktop_1","0x2A00","Blue Ridge Concepts Inc","EladniDesktop","1","4","y","n","http://www.BlueRidgeConcepts.com"
"Oem_guangzhou_ming_jing_stage_lighting_equipment_co_ltd_kingkongbaton_1","0x29FF","GuangZhou Ming jing stage lighting equipment co LTD","KingKongBaton","1","8","y","y","http://www.mjinglight.com/en/Index.html"
"Oem_echoic_tech_llc_mach1_led_controller_1","0x29FE","Echoic Tech LLC","Mach1 LED Controller","32.768","32.768","n","n","https://echoictech.com/"
"Oem_vibesta_bv_rtx1_1","0x29FD","Vibesta BV","RTX1","1","1","n","n","www.vibesta.com"
"Oem_dts_illuminazione_srl_alchemy5_1","0x29FC","DTS Illuminazione srl","Alchemy5","0","1","y","y","https://dts-lighting.it/"
"Oem_guangzhou_chaiyi_light_co_ltd_replay_server_1","0x29FB","Guangzhou ChaiYi Light CO Ltd","Replay Server","8","8","y","y","http://en.fineart-light.com"
"Oem_glp_german_light_products_gmbh_impression_fr10_bar_1","0x29FA","GLP German Light Products GmbH","Impression FR10 Bar","0","1","n","y","www.glp.de"
"Oem_glp_german_light_products_gmbh_knv_psu_1","0x29F9","GLP German Light Products GmbH","KNV PSU","0","1","n","y","www.glp.de"
"Oem_martin_professional_vdo_atomic_dot_cld_1","0x29F8","Martin Professional","VDO Atomic Dot CLD","0","1","n","y","https://www.martin.com/en-US/products/vdo-atomic-dot-cld"
"Oem_martin_professional_vdo_atomic_dot_wrm_1","0x29F7","Martin Professional","VDO Atomic Dot WRM","0","1","n","y","https://www.martin.com/en-US/products/vdo-atomic-dot-wrm"
"Oem_dp_lumi_dp_lumi_pro_1","0x29F6","DP Lumi","DP Lumi Pro","1","1","Y","n","https://www.dplumi.com/product/the-dp-lumi-pro-2/"
"Oem_light_converse_ltd_ligthconverse_tools_1","0x29F5","Light Converse Ltd","LIGTHCONVERSE TOOLS","1","0","y","n","https://lightconverse.eu/products/lightconverse-tools/"
"Oem_chauvet_professional_colorado_solo_batten_1","0x29F4","Chauvet Professional","Colorado Solo Batten","1","1","y","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_colorado_solo_batten_4_1","0x29F3","Chauvet Professional","Colorado Solo Batten 4","1","1","y","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_maverick_mk3_profile_1","0x29F2","Chauvet Professional","Maverick MK3 Profile","1","1","y","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_maverick_mk3_spot_1","0x29F1","Chauvet Professional","Maverick MK3 Spot","1","1","y","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_maverick_mk3_profile_cx_1","0x29F0","Chauvet Professional","Maverick MK3 Profile CX","1","1","y","y","www.chauvetprofessional.com"
"Oem_equipson_s_a_lsnode1_1","0x29EF","EQUIPSON S A","LSNODE1","1","1","y","y","https://www.lightshark.es"
"Oem_equipson_s_a_lsnode2_1","0x29EE","EQUIPSON S A","LSNODE2","2","2","y","y","https://www.lightshark.es"
"Oem_equipson_s_a_lsnode4_1","0x29ED","EQUIPSON S A","LSNODE4","0","4","y","y","https://www.lightshark.es"
"Oem_adj_products_allegro_z6_1","0x29EC","ADJ PRODUCTS","ALLEGRO Z6","2","2","Y","Y","https://www.adj.com/allegro-z6"
"Oem_wangming_wangming_1","0x29EB","WangMing","WangMing","1","1","y","y",""
"Oem_chauvet_lighting_ovation_b_1965fc_2","0x29EA","Chauvet Lighting","Ovation B 1965FC","1","1","y","y","https://www.chauvetprofessional.com/products/ovation-b-1965fc/"
"Oem_chauvet_lighting_ovation_b_1965fc_1","0x29E9","Chauvet Lighting","Ovation B 1965FC","1","1","y","y","https://www.chauvetprofessional.com/products/ovation-b-1965fc/"
"Oem_equivalent_lsdr_65e_1","0x29E8","Equivalent","LSDR 65E","0","1","y","y","https://www.equivalent.pro/catalog/control-systems/dimmers/lsdr-65eh/"
"Oem_equivalent_lsdr_123e_1","0x29E7","Equivalent","LSDR 123E","0","1","y","y","https://www.equivalent.pro/catalog/control-systems/dimmers/lsdr-123eh/"
"Oem_equivalent_lsdw_2435e_1","0x29E6","Equivalent","LSDW_2435E","0","1","y","y","https://www.equivalent.pro/catalog/control-systems/dimmers/"
"Oem_equivalent_ethercondmx8_1","0x29E5","Equivalent","EtherConDMX8","8","8","n","y","https://www.equivalent.pro/catalog/control-systems/artgate/ethercon-dmx-8/"
"Oem_equivalent_lsethernettodmx_1","0x29E4","Equivalent","LSEthernetToDMX","8","8","n","y","https://www.equivalent.pro/catalog/control-systems/artgate/lsethernettodmx/"
"Oem_disguise_disguise_production_toolkit_1","0x29E3","Disguise","Disguise Production Toolkit","1","1","n","n","https://www.disguise.one"
"Oem_hycl_bootloader_1","0x29E2","HYCL","BootLoader","0","0","n","n","http://www.leds-control.com"
"Oem_lightline_lasertechnik_gmbh_laserlink_1","0x29E1","LIGHTLINE Lasertechnik GmbH","Laserlink","1","0","Y","Y","www.lightline.de"
"Oem_xinqidian_ganelight_1","0x29E0","xinqidian","ganelight","1","4","y","y",""
"Oem_manima_technologies_bv_manima_led_interface_1","0x29DF","MaNiMa Technologies BV","MaNiMa LED interface","1.024","2","n","n",""
"Oem_luminex_lighting_control_equipment_luminode_1_1","0x29DE","Luminex lighting Control Equipment","LumiNode 1","1","1","y","y","https://www.luminex.be/"
"Oem_luminex_lighting_control_equipment_luminode_2_1","0x29DD","Luminex Lighting Control Equipment","LumiNode 2","2","2","y","y","https://www.luminex.be/"
"Oem_luminex_lighting_control_equipment_luminode_4_1","0x29DC","Luminex Lighting Control Equipment","LumiNode 4","4","4","y","y","https://www.luminex.be/"
"Oem_luminex_lighting_control_equipment_luminode_12_1","0x29DB","Luminex Lighting Control Equipment","LumiNode 12","12","12","y","y","https://www.luminex.be/"
"Oem_hdl_dmxnode8_1","0x29DA","HDL","DMXNode8","8","8","y","y","http://www.hdlchina.com"
"Oem_dclx_ltd_pixel_sabre_1","0x29D9","DCLX Ltd","Pixel Sabre","1","1","Y","y","www.dclx.co.uk"
"Oem_ex_systems_rgb_floodlight_1","0x29D8","eX Systems","RGB Floodlight","3","0","n","y","https://exsystems.net"
"Oem_vl_software_arthur_maxi_1","0x29D7","VL software","Arthur Maxi","0","4","Y","N",""
"Oem_sze_schneider_zirr_engineering_gmbh_cf_player_a_fullhd2_0_1","0x29D6","SZe Schneider Zirr engineering GmbH","CF Player A FullHD2 0","0","0","n","n","https://sze.com/playerfullhd2.html"
"Oem_clay_paky_xtylos_1","0x29D5","CLAY PAKY","XTYLOS","1","1","y","y","https://www.claypaky.it/en/home/"
"Oem_lumos_design_lumos_node_4_1","0x29D4","Lumos Design","Lumos Node 4","4","4","Y","Y","No website currently running"
"Oem_light_converse_ltd_lightconverse_tools_1","0x29D3","Light Converse Ltd","LIGHTCONVERSE TOOLS","32.000","0","y","n","https://lightconverse.eu/products/lightconverse-tools/"
"Oem_exacta_ccl_pc_1","0x29D2","Exacta","CCL PC","1","10","Y","N","http://www.exactasolucoes.com.br"
"Oem_thelight_luminary_for_cine_and_tv_sl_evo_1_weatherproof_1","0x29D1","THELIGHT Luminary for Cine and TV SL","EVO 1 WEATHERPROOF","1","1","y","y","https://www.velvetlight.tv"
"Oem_thelight_luminary_for_cine_and_tv_sl_evo_1_studio_1","0x29D0","THELIGHT Luminary for Cine and TV SL","EVO 1 STUDIO","1","1","y","y","https://www.velvetlight.tv"
"Oem_thelight_luminary_for_cine_and_tv_sl_evo_2_weatherproof_1","0x29CF","THELIGHT Luminary for Cine and TV SL","EVO 2 WEATHERPROOF","1","1","y","y","https://www.velvetlight.tv"
"Oem_thelight_luminary_for_cine_and_tv_sl_evo_2_studio_1","0x29CE","THELIGHT Luminary for Cine and TV SL","EVO 2 STUDIO","1","1","y","y","https://www.velvetlight.tv"
"Oem_thelight_luminary_for_cine_and_tv_sl_evo_2x2_weatherproof_1","0x29CD","THELIGHT Luminary for Cine and TV SL","EVO 2x2 WEATHERPROOF","1","1","y","y","https://www.velvetlight.tv"
"Oem_thelight_luminary_for_cine_and_tv_sl_evo_2x2_studio_1","0x29CC","THELIGHT Luminary for Cine and TV SL","EVO 2x2 STUDIO","1","1","y","y","https://www.velvetlight.tv"
"Oem_integrated_system_technology_ltd_white_knight_24_silent_500w_1","0x29CB","Integrated System Technology Ltd","White Knight 24 Silent 500W","24","24","y","y","https://www.istl.com/"
"Oem_integrated_system_technology_ltd_thor16_silent_500w_1","0x29CA","Integrated System Technology Ltd","Thor16 Silent 500W","16","16","y","y","https://www.istl.com/"
"Oem_integrated_system_technology_ltd_white_knight_24_dc_1","0x29C9","Integrated System Technology Ltd","White Knight 24 DC","24","24","y","y","https://www.istl.com/"
"Oem_integrated_system_technology_ltd_white_knight_48_dc_1","0x29C8","Integrated System Technology Ltd","White Knight 48 DC","48","48","y","y","https://www.istl.com/"
"Oem_brink_ventures_llc_blackout_lighting_console_1","0x29C7","Brink Ventures LLC","Blackout Lighting Console","0","0","N","N","https://www.blackout-app.com/"
"Oem_event_imagineering_group_showkontrol_1","0x29C6","Event Imagineering Group","ShowKontrol","1","1","N","N","http://www.tc-supply.com"
"Oem_spacelights_spacenet2o_1","0x29C5","Spacelights","spacenet2o","0","2","y","y","https://www.spacelights.gr/"
"Oem_spacelights_spacenet1i_1","0x29C4","Spacelights","spacenet1i","1","0","y","n","https://www.spacelights.gr/"
"Oem_pr_lighting_ltd_pr_lighting_2_1","0x29C3","PR LIGHTING LTD","PR Lighting 2","1","1","n","y","http://www.pr-lighting.com"
"Oem_hycl_dmx_player_2_1","0x29C2","HYCL","dmx player 2","1","2","Y","y","http://www.leds-control.com"
"Oem_hycl_dmx_player_64_1","0x29C1","HYCL","dmx player 64","1","64","y","y","http://www.leds-control.com"
"Oem_hycl_dmx_player_256_1","0x29C0","HYCL","dmx player 256","1","256","Y","y","http://www.leds-control.com"
"Oem_hycl_dmx_player_512_1","0x29BF","HYCL","dmx player 512","1","512","Y","y","http://www.leds-control.com"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_4p_1","0x29BE","Guangzhou ChaiYi Light CO Ltd","TEKMAND Node 4P","4","4","y","y","http://en.fineart-light.com/"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_8p_1","0x29BD","Guangzhou ChaiYi Light CO Ltd","TEKMAND Node 8P","8","8","y","y","http://en.fineart-light.com/"
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_4p_od_1","0x29BC","Guangzhou ChaiYi Light CO Ltd","TEKMAND Node 4P OD","4","4","y","y","http://en.fineart-light.com"
"Oem_hycl_dmx_player_super_16_1","0x29BB","HYCL","DMX Player Super 16","0","16","Y","n","http://www.leds-control.com"
"Oem_hycl_dmx_player_super_8_1","0x29BA","HYCL","DMX Player Super 8","0","8","Y","n","http://www.leds-control.com"
"Oem_hycl_dmx_player_super_4_1","0x29B9","HYCL","DMX Player Super 4","0","4","Y","n","http://www.leds-control.com"
"Oem_on_lx_limited_ctrl_1","0x29B8","ON LX Limited","Ctrl","2.048","2.048","n","n","https://onlx.ltd"
"Oem_nox_multimedia_gmbh_nan_8_1","0x29B7","nox multimedia GmbH","NAN 8","0","8","y","n","http://nox-multimedia.ch/"
"Oem_glp_german_light_products_gmbh_impression_w350_1","0x29B6","GLP German Light Products GmbH","Impression W350","1","1","y","y","http://glp.de"
"Oem_wiktor_kaluzny_dmx_box_1","0x29B5","Wiktor Kaluzny","DMX BOX","0","1","y","y",""
"Oem_pr_lighting_ltd_pr_lighting_1_1","0x29B4","PR LIGHTING LTD","PR Lighting 1","1","1","n","y","http://www.pr-lighting.com/"
"Oem_edelmann_electronics_enigma2kxx_1","0x29B3","Edelmann Electronics","Enigma2Kxx","0","0","n","n","http://www.enigma2kxx.com"
"Oem_glp_german_light_products_gmbh_highlander_1","0x29B2","GLP German Light Products GmbH","Highlander","1","0","n","y","http://glp.de"
"Oem_alex_sagias_pixled_1","0x29B1","Alex Sagias","PixLed","0","80","y","n",""
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_1","0x29B0","Guangzhou ChaiYi Light CO Ltd","TEKMAND Node","4","4","y","y","http://en.fineart-light.com/"
"Oem_shenzhen_leifei_lighting_technology_co_ltd_litemeta_controller_24_1","0x29AF","Shenzhen Leifei Lighting Technology Co Ltd","LiteMeta Controller 24","0","24","y","y","http://www.litemeta.com"
"Oem_martin_professional_mac_allure_wash_pc_1","0x29AE","Martin Professional","MAC Allure Wash PC","0","1","n","y","http://www.martin.com"
"Oem_impolux_gmbh_ultim8_st16_o_1","0x29AD","Impolux GmbH","ULTIM8 ST16 O","0","16","y","n","http://www.impolux.de"
"Oem_shenzhen_leifei_lighting_technology_co_ltd_litemeta_controller_32_1","0x29AC","Shenzhen Leifei Lighting Technology Co Ltd","LiteMeta Controller 32","0","32","y","y","http://www.litemeta.com"
"Oem_er_productions_er_display_v1_1","0x29AB","ER Productions","ER Display V1","1","0","n","y","http://www.er-productions.com"
"Oem_signify_investment_co_ltd_philips_controller_2_1","0x29AA","Signify Investment Co Ltd","Philips Controller 2","0","2","Y","Y","https://www.signify.com/zh-cn"
"Oem_signify_investment_co_ltd_philips_controller_8_1","0x29A9","Signify Investment Co Ltd","Philips Controller 8","0","8","Y","Y","https://www.signify.com/zh-cn"
"Oem_signify_investment_co_ltd_philips_controller_16_1","0x29A8","Signify Investment Co Ltd","Philips Controller 16","0","16","Y","Y","https://www.signify.com/zh-cn"
"Oem_signify_investment_co_ltd_philips_controller_24_1","0x29A7","Signify Investment Co Ltd","Philips Controller 24","0","24","Y","Y","https://www.signify.com/zh-cn"
"Oem_philips_controller_32_signify_china_investment_co_ltd_1","0x29A6","Philips Controller 32","Signify China Investment Co Ltd","0","32","Y","Y","https://www.signify.com/zh-cn"
"Oem_guangzhou_huayong_intelligent_technology_co_ltd_huayong_controller_1","0x29A5","Guangzhou HuaYong Intelligent Technology Co Ltd","HuaYong Controller","2","6","y","y","http://www.hyzn2017.com"
"Oem_amolvin_dmx_node_1","0x29A4","AMOLVIN","DMX NODE","4","4","n","n","http://www.amolvin.com"
"Oem_mcintire_enterprises_inc_24_ch_dimmer_1","0x29A3","MCINTIRE ENTERPRISES INC","24 CH Dimmer","1","1","y","y","https://www.magicgadgets.com"
"Oem_emp_designs_ltd_emp1_1","0x29A2","EMP Designs Ltd","EMP1","0","0","n","n","https://www.empdesigns.co.uk"
"Oem_integrated_system_technology_ltd_white_knight_36_1600_1","0x29A1","Integrated System Technology Ltd","White Knight 36_1600","36","36","y","y","https://www.istl.com/"
"Oem_integrated_system_technology_ltd_white_knight_24_emergency_1","0x29A0","Integrated System Technology Ltd","White Knight 24 Emergency","24","24","y","y","https://www.istl.com/"
"Oem_pulsar_luxinode_1","0x299F","Pulsar","Luxinode","1","2","Y","Y","www.pulsarlight.com"
"Oem_shenzhen_lei_fei_lighting_technology_co_ltd_litemeta_controller_8_1","0x299E","Shenzhen Lei Fei Lighting Technology Co Ltd","LiteMeta Controller 8","0","8","y","y","http://www.litemeta.com/"
"Oem_shenzhen_lei_fei_lighting_technology_co_ltd_litemeta_controller_16_1","0x299D","Shenzhen Lei Fei Lighting Technology Co Ltd","LiteMeta Controller 16","0","16","y","y","http://www.litemeta.com/"
"Oem_shenzhen_lei_fei_lighting_technology_co_ltd_litemeta_controller_2_1","0x299C","Shenzhen Lei Fei Lighting Technology Co Ltd","LiteMeta Controller 2","0","2","y","y","http://www.litemeta.com/"
"Oem_bsl_bv_epikon_1","0x299B","BSL BV","Epikon","2","2","y","n","www.bsl-lighting.com"
"Oem_sqd_lighting_co_limited_led_lighting_fixtures_series_1","0x299A","SQD lighting Co Limited","LED lighting fixtures series","1","1","y","y","www.sqdlighting.com"
"Oem_waves_system_event_video_player_1","0x2999","Waves System","Event Video Player","1","1","y","n","www.id-al.com"
"Oem_adb_stagelight_orkis_focus_spot_1","0x2998","ADB STAGELIGHT","ORKIS FOCUS SPOT","0","1","N","Y","www.adbstagelight.com"
"Oem_creative_lighting_edidio_4_pole_1","0x2997","Creative Lighting","eDIDIO 4 pole","2","2","y","y","www.ctrlfreak.com.au"
"Oem_creative_lighting_edidio_8_pole_1","0x2996","Creative Lighting","eDIDIO 8 pole","4","4","y","y","www.ctrlfreak.com.au"
"Oem_guangzhou_jinzhihui_electronic_technology_co_top_1440_led_rgb_strobe_1","0x2995","Guangzhou JinZhiHui Electronic Technology Co","TOP 1440 LED RGB STROBE","8","8","Y","Y","http://www.toppest.cn/en/"
"Oem_dts_illuminazione_srl_synergy_5_profile_1","0x2994","DTS Illuminazione srl","SYNERGY 5 PROFILE","0","1","y","y","https://dts-lighting.it"
"Oem_dts_illuminazione_srl_synergy_5_spot_1","0x2993","DTS Illuminazione srl","SYNERGY 5 SPOT","0","1","y","y","https://dts-lighting.it"
"Oem_dts_illuminazione_srl_drivenet_832_1","0x2992","DTS Illuminazione srl","DRIVENET 832","0","1","y","y","https://dts-lighting.it"
"Oem_dts_illuminazione_srl_drivenet_832_power_1","0x2991","DTS Illuminazione srl","DRIVENET 832 POWER","0","1","y","y","https://dts-lighting.it"
"Oem_dts_illuminazione_srl_drivenet_416_1","0x2990","DTS Illuminazione srl","DRIVENET 416","0","1","y","y","https://dts-lighting.it"
"Oem_dts_illuminazione_srl_drivenet_416_power_1","0x298F","DTS Illuminazione srl","DRIVENET 416 POWER","0","1","y","y","https://dts-lighting.it"
"Oem_dts_illuminazione_srl_drivenet_1664_1","0x298E","DTS Illuminazione srl","DRIVENET 1664","0","1","y","y","https://dts-lighting.it"
"Oem_atmosphere_media_gmbh_atmosphere_media_player_1","0x298D","atmosphere media gmbH","atmosphere media player","0","1","n","n","http://www.atmosphere-media.com"
"Oem_clay_paky_axcor_prof_600_st_1","0x298C","CLAY PAKY","AXCOR PROFILE 600 ST","1","1","y","y","www.claypaky.it"
"Oem_clay_paky_axcor_prof_600_hc_st_1","0x298B","CLAY PAKY","AXCOR PROFILE 600 HC ST","1","1","y","y","www.claypaky.it"
"Oem_clay_paky_axcor_wash_600_1","0x298A","CLAY PAKY","AXCOR WASH 600","1","1","y","y","www.claypaky.it"
"Oem_clay_paky_axcor_wash_600_hc_1","0x2989","CLAY PAKY","AXCOR WASH 600 HC","1","1","y","y","www.claypaky.it"
"Oem_adb_stagelight_oksalis_fl10_1","0x2988","ADB STAGELIGHT","OKSALIS FL10","0","1","N","Y","www.adbstagelight.com"
"Oem_adb_stagelight_oksalis_fl20_1","0x2987","ADB STAGELIGHT","OKSALIS FL20","0","1","N","Y","www.adbstagelight.com"
"Oem_d5_systems_lighting_network_toolset_1","0x2986","D5 systems","Lighting Network Toolset","0","1","y","y","https://www.d5systems.co.uk"
"Oem_clay_paky_hy_b_eye_k15_1","0x2985","CLAY PAKY","HY_B EYE K15","1","1","y","y","www.claypaky.it"
"Oem_clay_paky_hy_b_eye_k25_1","0x2984","CLAY PAKY","HY_B EYE K25","1","1","y","y","www.claypaky.it"
"Oem_clay_paky_axcor_profile_900_8k_ln_1","0x2983","CLAY PAKY","AXCOR PROFILE 900 8K LN","1","1","y","y","www.claypaky.it"
